date,code,relative_quoted_spread
2014-10-11,BTCUSD,0.0012712801238115
2014-10-12,BTCUSD,0.0018900823916196
2014-10-13,BTCUSD,0.0022367710074265
2014-10-14,BTCUSD,0.0012398333663955
2014-10-15,BTCUSD,0.0011681946313837
2014-10-16,BTCUSD,0.00216096558267
2014-10-18,BTCUSD,0.000999500249875
2014-10-19,BTCUSD,0.0004118616144975
2014-10-20,BTCUSD,0.0008367325593558
2014-10-21,BTCUSD,0.0004153578567535
2014-10-22,BTCUSD,0.0001570803989842
2014-10-23,BTCUSD,0.0009466269454575
2014-10-24,BTCUSD,0.0013768879522304
2014-10-25,BTCUSD,8.623787279905919e-05
2014-10-26,BTCUSD,8.498944714356903e-05
2014-10-27,BTCUSD,0.0014224751066856
2014-10-28,BTCUSD,0.0004537977196665
2014-10-29,BTCUSD,0.0008386748936679
2014-10-30,BTCUSD,0.0037196695549371
2014-10-31,BTCUSD,2.944423997052898e-05
2014-11-01,BTCUSD,0.0010169021462797
2014-11-02,BTCUSD,0.0012951370686731
2014-11-03,BTCUSD,0.0009254689042448
2014-11-04,BTCUSD,0.0001523345266204
2014-11-05,BTCUSD,8.830931810496905e-05
2014-11-06,BTCUSD,0.0010932105868814
2014-11-07,BTCUSD,0.0002344459748556
2014-11-08,BTCUSD,5.790555603804919e-05
2014-11-09,BTCUSD,8.337154529167413e-05
2014-11-10,BTCUSD,5.4481067829034736e-05
2014-11-11,BTCUSD,0.0004094724629768
2014-11-12,BTCUSD,2.3806973062388327e-05
2014-11-13,BTCUSD,4.770537162480157e-05
2014-11-14,BTCUSD,2.5107018667045545e-05
2014-11-15,BTCUSD,0.0001851680399962
2014-11-16,BTCUSD,0.0012778572888979
2014-11-17,BTCUSD,0.0019354089519115
2014-11-18,BTCUSD,0.0005059179081625
2014-11-19,BTCUSD,0.0001333422228148
2014-11-20,BTCUSD,8.414793206449299e-05
2014-11-22,BTCUSD,0.0018478245419526
2014-11-23,BTCUSD,0.000245422194347
2014-11-24,BTCUSD,0.0033294446119361
2014-11-25,BTCUSD,0.0006611570247933
2014-11-26,BTCUSD,0.0004088586030663
2014-11-27,BTCUSD,0.0001083805240197
2014-11-28,BTCUSD,0.0001322663844984
2014-11-29,BTCUSD,0.0002117970983797
2014-11-30,BTCUSD,0.0006339646564704
2014-12-01,BTCUSD,0.0006269264928687
2014-12-02,BTCUSD,0.0004679822166757
2014-12-03,BTCUSD,0.0003716583928428
2014-12-04,BTCUSD,0.001431291267773
2014-12-05,BTCUSD,0.0005281225244256
2014-12-06,BTCUSD,2.657771989738583e-05
2014-12-07,BTCUSD,7.958298515785168e-05
2014-12-08,BTCUSD,0.0004376607035396
2014-12-09,BTCUSD,0.0003700488179786
2014-12-10,BTCUSD,0.0003452343278
2014-12-11,BTCUSD,0.00097586177205
2014-12-12,BTCUSD,0.0003686322326354
